id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0BgbobvykXxEvxo2HhCuvM,Banana Pancakes,72,191907,0,['Jack Johnson'],['3GBPw9NK25X1Wt2OUvOwY3'],2005-01-01,0.814,0.373,7,-8.017,1,0.116,0.602,1.7e-05,0.0931,0.632,114.548,4
3RlsVPIIs5KFhLFhxZ4iDF,Rockstar,72,252040,0,['Nickelback'],['6deZN1bslXzeGvOLaLMOIF'],2005-09-26,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,4
3zwmW1gM4E8FlHXV5nE16u,Be Yourself,71,278973,0,['Audioslave'],['2ziB7fzrXBoh1HUPS6sVFn'],2005-01-01,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,4
69bHJ9qs5FrUJbKP8xU8uZ,Disco Inferno,71,214227,1,['50 Cent'],['3q7HBObVc0L8jNeTe5Gofh'],2005-03-03,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018,4
5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,71,201707,0,['KT Tunstall'],['5zzrJD2jXrE9dZ1AklRFcL'],2005-01-01,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,4
1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),71,236267,0,['The Fray'],['0zOcE3mg9nS6l3yxt1Y0bK'],2005-09-13,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03,4
2lgz3yy1AyoceOVOOBmiOS,Stickwitu,71,207507,0,['The Pussycat Dolls'],['6wPhSqRtPu1UhRCDX5yaDJ'],2005-01-01,0.548,0.554,9,-6.408,1,0.0587,0.283,0.0,0.0708,0.382,79.918,4
2dxjKgT0li4qBI3QwuN9Ih,Touch The Sky,71,236600,1,"['Kanye West', 'Lupe Fiasco']","['5K4W6rqBFWDnAN6FQUkS6x', '01QTIT5P1pFP3QnnFSdsJf']",2005-08-30,0.552,0.846,9,-4.912,1,0.342,0.0114,0.0,0.309,0.554,98.56,1
5OiaAaIMYlCZONyDBxqk4G,First Day Of My Life,70,188800,0,['Bright Eyes'],['5o206eFLx38glA2bb4zqIU'],2005-01-25,0.468,0.201,4,-17.024,1,0.0388,0.915,8.28e-05,0.0952,0.383,94.422,4
7GQjJEwqlp6m5HNWVQd6OR,Good Directions,70,215853,0,['Billy Currington'],['1By9QBFnjZAoI83BZppHlt'],2005-01-01,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512,4
3lyLqIn8mybyEFTs8JJaLf,Home,70,225907,0,['Michael Bublé'],['1GxkXlMwML1oSg5eLPiAz3'],2005-02-08,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,4
2bfGNzdiRa1jXZRdfssSzR,Dirty Harry,70,230426,0,['Gorillaz'],['3AA28KZvwAUcZuOKwyblJQ'],2005-05-23,0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,4
7G6l2FtQyRhQgYgut2I6i8,As Good As I Once Was,70,227840,0,['Toby Keith'],['2bA6fzP0lMAQ4kz6CF61w8'],2005-01-01,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,4
